Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,Sensor7,Sensor8,Sensor9,Sensor10,Sensor11,Sensor12,Sensor13,Sensor14,Sensor15,Sensor16,Sensor17,Sensor18,Sensor19,Sensor20,Sensor21,Sensor22,Sensor23,Sensor24,Sensor25,Sensor26,Sensor27,Sensor28,Sensor29,Sensor30,Sensor31,Sensor32,Sensor33,Sensor34,Sensor35,Sensor36,Sensor37,Sensor38,Sensor39,Sensor40,Sensor41,Sensor42,Sensor43,Sensor44,Sensor45,Sensor46,Sensor47,Sensor48,Sensor49,Sensor50,Sensor51,Sensor52,Sensor53,Sensor54,Sensor55,Sensor56,Sensor57,Sensor58,Sensor59,Sensor60,Sensor61,Sensor62,Sensor63,Sensor64,Sensor65,Sensor66,Sensor67,Sensor68,Sensor69,Sensor70,Sensor71,Sensor72,Sensor73,Sensor74,Sensor75,Sensor76,Sensor77,Sensor78,Sensor79,Sensor80,Sensor81,Sensor82,Sensor83,Sensor84,Sensor85,Sensor86,Sensor87,Sensor88,Sensor89,Sensor90,class
1.06,1.110985409,1.133192345,1.112302688,1.154885039,1.135887025,1.159020814,1.148418655,0.929228388,1.012859397,0.683105424,1.063423254,0.99271918,1.120491203,1.082043768,1.087117331,1.032270768,1.133927399,1.173129936,1.221996653,0.972074288,0.946418987,1.104135935,1.034990959,1.086595542,1.224783232,0.837161559,1.103641722,1.284364664,1.309867288,1.06,1.110985409,1.133192345,1.112302688,1.154885039,1.135887025,1.159020814,1.148418655,0.929228388,1.012859397,0.683105424,1.063423254,0.99271918,1.120491203,1.082043768,1.087117331,1.032270768,1.133927399,1.173129936,1.221996653,0.972074288,0.946418987,1.104135935,1.034990959,1.086595542,1.224783232,0.837161559,1.103641722,1.284364664,1.309867288,1.06,1.110985409,1.133192345,1.112302688,1.154885039,1.135887025,1.159020814,1.148418655,0.929228388,1.012859397,0.683105424,1.063423254,0.99271918,1.120491203,1.082043768,1.087117331,1.032270768,1.133927399,1.173129936,1.221996653,0.972074288,0.946418987,1.104135935,1.034990959,1.086595542,1.224783232,0.837161559,1.103641722,1.284364664,1.309867288,FalseInjectionAttack
1.06,1.061001922,0.976517212,0.984395548,0.914564864,0.969686523,0.954244571,0.937871309,0.960480063,0.768725178,1.04596338,0.928055436,1.015229375,0.719620909,0.707704596,0.925186046,0.82258276,1.05194685,0.723566184,0.662120669,0.738890718,0.736889014,0.08086579,0.450455268,0.845718424,1.247115505,0.714771078,0.984416096,0.853921687,0.873934538,1.06,1.061001922,0.976517212,0.984395548,0.914564864,0.969686523,0.954244571,0.937871309,0.960480063,0.768725178,1.04596338,0.928055436,1.015229375,0.719620909,0.707704596,0.925186046,0.82258276,1.05194685,0.723566184,0.662120669,0.738890718,0.736889014,0.08086579,0.450455268,0.845718424,1.247115505,0.714771078,0.984416096,0.853921687,0.873934538,1.06,1.061001922,0.976517212,0.984395548,0.914564864,0.969686523,0.954244571,0.937871309,0.960480063,0.768725178,1.04596338,0.928055436,1.015229375,0.719620909,0.707704596,0.925186046,0.82258276,1.05194685,0.723566184,0.662120669,0.738890718,0.736889014,0.08086579,0.450455268,0.845718424,1.247115505,0.714771078,0.984416096,0.853921687,0.873934538,FalseInjectionAttack
1.06,1.026883939,1.03051188,1.053565975,1.158013066,1.043655453,1.093545766,0.982345101,1.102581182,1.144948913,1.019298411,1.271544845,1.223481371,1.299282933,1.201428841,1.151277946,1.178686195,1.137080694,1.109234838,1.13918836,1.111178169,1.103846131,1.091847253,1.107785357,0.918533133,0.67278577,0.927334515,1.066315313,1.217720488,0.934307114,1.06,1.026883939,1.03051188,1.053565975,1.158013066,1.043655453,1.093545766,0.982345101,1.102581182,1.144948913,1.019298411,1.271544845,1.223481371,1.299282933,1.201428841,1.151277946,1.178686195,1.137080694,1.109234838,1.13918836,1.111178169,1.103846131,1.091847253,1.107785357,0.918533133,0.67278577,0.927334515,1.066315313,1.217720488,0.934307114,1.06,1.026883939,1.03051188,1.053565975,1.158013066,1.043655453,1.093545766,0.982345101,1.102581182,1.144948913,1.019298411,1.271544845,1.223481371,1.299282933,1.201428841,1.151277946,1.178686195,1.137080694,1.109234838,1.13918836,1.111178169,1.103846131,1.091847253,1.107785357,0.918533133,0.67278577,0.927334515,1.066315313,1.217720488,0.934307114,FalseInjectionAttack
1.06,1.043522523,1.098713342,1.079314602,0.990303796,1.05553432,1.096022325,1.068937592,0.958984553,1.085572065,0.984159712,1.214241777,1.282633374,1.310172478,1.219766834,1.137764289,1.059597669,1.181086262,1.091275197,1.100387628,1.054877658,1.064900966,1.324095017,1.188335407,1.134092409,1.263432832,1.140781399,1.098604431,1.131007271,0.944171708,1.06,1.043522523,1.098713342,1.079314602,0.990303796,1.05553432,1.096022325,1.068937592,0.958984553,1.085572065,0.984159712,1.214241777,1.282633374,1.310172478,1.219766834,1.137764289,1.059597669,1.181086262,1.091275197,1.100387628,1.054877658,1.064900966,1.324095017,1.188335407,1.134092409,1.263432832,1.140781399,1.098604431,1.131007271,0.944171708,1.06,1.043522523,1.098713342,1.079314602,0.990303796,1.05553432,1.096022325,1.068937592,0.958984553,1.085572065,0.984159712,1.214241777,1.282633374,1.310172478,1.219766834,1.137764289,1.059597669,1.181086262,1.091275197,1.100387628,1.054877658,1.064900966,1.324095017,1.188335407,1.134092409,1.263432832,1.140781399,1.098604431,1.131007271,0.944171708,FalseInjectionAttack
1.06,1.088970093,1.118191919,1.097473127,1.057363788,1.09615192,1.037621406,1.109074032,1.157659368,1.1382024,1.232153437,1.263014753,1.433236723,1.24856855,1.129171423,1.189094271,1.104136311,1.044238023,0.967269008,0.965315656,1.159681009,1.154303749,0.990793237,1.08722497,1.10385275,0.864751167,1.114931003,1.163248217,1.195823645,1.189008472,1.06,1.088970093,1.118191919,1.097473127,1.057363788,1.09615192,1.037621406,1.109074032,1.157659368,1.1382024,1.232153437,1.263014753,1.433236723,1.24856855,1.129171423,1.189094271,1.104136311,1.044238023,0.967269008,0.965315656,1.159681009,1.154303749,0.990793237,1.08722497,1.10385275,0.864751167,1.114931003,1.163248217,1.195823645,1.189008472,1.06,1.088970093,1.118191919,1.097473127,1.057363788,1.09615192,1.037621406,1.109074032,1.157659368,1.1382024,1.232153437,1.263014753,1.433236723,1.24856855,1.129171423,1.189094271,1.104136311,1.044238023,0.967269008,0.965315656,1.159681009,1.154303749,0.990793237,1.08722497,1.10385275,0.864751167,1.114931003,1.163248217,1.195823645,1.189008472,FalseInjectionAttack
1.06,1.081384399,1.074254415,1.097680071,0.926911782,1.113422177,1.023500792,1.092290556,1.036404291,0.90929666,1.031389365,1.032691146,1.082025145,1.045859422,0.819394809,1.152113773,1.101227597,0.753463146,0.909229177,0.933087554,0.813093969,0.818264137,0.668188171,0.738029948,1.087371582,1.387144119,1.151345687,1.145401861,0.973580283,1.112464812,1.06,1.081384399,1.074254415,1.097680071,0.926911782,1.113422177,1.023500792,1.092290556,1.036404291,0.90929666,1.031389365,1.032691146,1.082025145,1.045859422,0.819394809,1.152113773,1.101227597,0.753463146,0.909229177,0.933087554,0.813093969,0.818264137,0.668188171,0.738029948,1.087371582,1.387144119,1.151345687,1.145401861,0.973580283,1.112464812,1.06,1.081384399,1.074254415,1.097680071,0.926911782,1.113422177,1.023500792,1.092290556,1.036404291,0.90929666,1.031389365,1.032691146,1.082025145,1.045859422,0.819394809,1.152113773,1.101227597,0.753463146,0.909229177,0.933087554,0.813093969,0.818264137,0.668188171,0.738029948,1.087371582,1.387144119,1.151345687,1.145401861,0.973580283,1.112464812,FalseInjectionAttack
1.06,1.074300657,1.014505153,1.045323347,1.034272645,1.052071334,1.042428468,1.096295347,1.034385076,0.843470577,1.112886863,0.948158491,0.992382574,1.176818975,0.931352965,0.720489204,0.885799356,1.00383679,1.084396417,1.050518236,0.896398705,0.866580911,0.8766102,0.944738329,0.961748517,1.343560256,1.064713803,1.066345195,0.993877458,0.857476652,1.06,1.074300657,1.014505153,1.045323347,1.034272645,1.052071334,1.042428468,1.096295347,1.034385076,0.843470577,1.112886863,0.948158491,0.992382574,1.176818975,0.931352965,0.720489204,0.885799356,1.00383679,1.084396417,1.050518236,0.896398705,0.866580911,0.8766102,0.944738329,0.961748517,1.343560256,1.064713803,1.066345195,0.993877458,0.857476652,1.06,1.074300657,1.014505153,1.045323347,1.034272645,1.052071334,1.042428468,1.096295347,1.034385076,0.843470577,1.112886863,0.948158491,0.992382574,1.176818975,0.931352965,0.720489204,0.885799356,1.00383679,1.084396417,1.050518236,0.896398705,0.866580911,0.8766102,0.944738329,0.961748517,1.343560256,1.064713803,1.066345195,0.993877458,0.857476652,FalseInjectionAttack
1.06,0.988495341,0.989093846,0.972051109,0.954270336,0.98147329,0.985753825,0.958739552,1.073460831,1.05756353,1.068342791,1.067168764,1.160092298,1.171504923,1.241481734,0.988655899,1.07702037,1.116950012,1.031591882,0.9908995,1.049365074,1.030343023,1.263144476,1.168314701,0.923553593,0.355607079,0.890804327,0.954118792,1.152958461,0.575927559,1.06,0.988495341,0.989093846,0.972051109,0.954270336,0.98147329,0.985753825,0.958739552,1.073460831,1.05756353,1.068342791,1.067168764,1.160092298,1.171504923,1.241481734,0.988655899,1.07702037,1.116950012,1.031591882,0.9908995,1.049365074,1.030343023,1.263144476,1.168314701,0.923553593,0.355607079,0.890804327,0.954118792,1.152958461,0.575927559,1.06,0.988495341,0.989093846,0.972051109,0.954270336,0.98147329,0.985753825,0.958739552,1.073460831,1.05756353,1.068342791,1.067168764,1.160092298,1.171504923,1.241481734,0.988655899,1.07702037,1.116950012,1.031591882,0.9908995,1.049365074,1.030343023,1.263144476,1.168314701,0.923553593,0.355607079,0.890804327,0.954118792,1.152958461,0.575927559,FalseInjectionAttack
1.06,1.15124762,1.103812559,1.135563535,1.280324388,1.159568872,1.254736365,1.162074868,1.15330316,1.178048979,1.108106435,1.150877479,1.08203469,0.931071168,1.172863624,1.126430334,1.220452732,1.249785579,1.260772312,1.231707436,1.130542613,1.126699513,1.356736419,1.269101265,1.003121061,0.735610887,0.932432991,1.138688492,0.846162287,0.464234589,1.06,1.15124762,1.103812559,1.135563535,1.280324388,1.159568872,1.254736365,1.162074868,1.15330316,1.178048979,1.108106435,1.150877479,1.08203469,0.931071168,1.172863624,1.126430334,1.220452732,1.249785579,1.260772312,1.231707436,1.130542613,1.126699513,1.356736419,1.269101265,1.003121061,0.735610887,0.932432991,1.138688492,0.846162287,0.464234589,1.06,1.15124762,1.103812559,1.135563535,1.280324388,1.159568872,1.254736365,1.162074868,1.15330316,1.178048979,1.108106435,1.150877479,1.08203469,0.931071168,1.172863624,1.126430334,1.220452732,1.249785579,1.260772312,1.231707436,1.130542613,1.126699513,1.356736419,1.269101265,1.003121061,0.735610887,0.932432991,1.138688492,0.846162287,0.464234589,FalseInjectionAttack
1.06,1.071286906,1.047108653,1.050691791,1.150467246,1.101360263,1.081504458,1.057925691,1.125460196,1.159219805,1.400536058,1.003536784,1.070327423,0.963719972,0.966421002,1.222841833,1.168752627,1.10332698,1.116045267,1.144699332,1.139081331,1.130819109,1.185810333,1.363542434,0.986051997,0.966502054,1.040160018,1.10724897,0.785887072,0.658746997,1.06,1.071286906,1.047108653,1.050691791,1.150467246,1.101360263,1.081504458,1.057925691,1.125460196,1.159219805,1.400536058,1.003536784,1.070327423,0.963719972,0.966421002,1.222841833,1.168752627,1.10332698,1.116045267,1.144699332,1.139081331,1.130819109,1.185810333,1.363542434,0.986051997,0.966502054,1.040160018,1.10724897,0.785887072,0.658746997,1.06,1.071286906,1.047108653,1.050691791,1.150467246,1.101360263,1.081504458,1.057925691,1.125460196,1.159219805,1.400536058,1.003536784,1.070327423,0.963719972,0.966421002,1.222841833,1.168752627,1.10332698,1.116045267,1.144699332,1.139081331,1.130819109,1.185810333,1.363542434,0.986051997,0.966502054,1.040160018,1.10724897,0.785887072,0.658746997,FalseInjectionAttack
1.06,1.067537463,1.00145296,1.033237355,1.002081049,1.038239926,1.079550924,0.996595135,1.079175593,1.088529385,0.883949984,1.005811113,1.057535864,1.058359207,1.059410263,1.006093753,1.007909747,1.006458653,0.969154349,0.945960848,1.017020317,1.013455447,1.23854556,0.958351528,1.079175561,1.329093575,1.145041964,1.051823139,1.392064004,1.543615404,1.06,1.067537463,1.00145296,1.033237355,1.002081049,1.038239926,1.079550924,0.996595135,1.079175593,1.088529385,0.883949984,1.005811113,1.057535864,1.058359207,1.059410263,1.006093753,1.007909747,1.006458653,0.969154349,0.945960848,1.017020317,1.013455447,1.23854556,0.958351528,1.079175561,1.329093575,1.145041964,1.051823139,1.392064004,1.543615404,1.06,1.067537463,1.00145296,1.033237355,1.002081049,1.038239926,1.079550924,0.996595135,1.079175593,1.088529385,0.883949984,1.005811113,1.057535864,1.058359207,1.059410263,1.006093753,1.007909747,1.006458653,0.969154349,0.945960848,1.017020317,1.013455447,1.23854556,0.958351528,1.079175561,1.329093575,1.145041964,1.051823139,1.392064004,1.543615404,FalseInjectionAttack
1.06,1.027110414,1.024481997,1.04621396,1.006025829,1.083421245,1.036303742,1.08909465,1.081583475,1.026090022,0.827359075,1.029044041,1.051327237,1.015563478,1.021798684,0.881527191,1.00595379,1.020661909,1.035278478,1.115810052,1.004898893,1.006550924,1.256965679,1.084602088,1.175779864,1.356743895,1.164829872,1.068001964,1.226717405,1.385723047,1.06,1.027110414,1.024481997,1.04621396,1.006025829,1.083421245,1.036303742,1.08909465,1.081583475,1.026090022,0.827359075,1.029044041,1.051327237,1.015563478,1.021798684,0.881527191,1.00595379,1.020661909,1.035278478,1.115810052,1.004898893,1.006550924,1.256965679,1.084602088,1.175779864,1.356743895,1.164829872,1.068001964,1.226717405,1.385723047,1.06,1.027110414,1.024481997,1.04621396,1.006025829,1.083421245,1.036303742,1.08909465,1.081583475,1.026090022,0.827359075,1.029044041,1.051327237,1.015563478,1.021798684,0.881527191,1.00595379,1.020661909,1.035278478,1.115810052,1.004898893,1.006550924,1.256965679,1.084602088,1.175779864,1.356743895,1.164829872,1.068001964,1.226717405,1.385723047,FalseInjectionAttack
1.06,1.008468409,0.96679267,0.955653487,0.956438068,0.968133368,0.976784013,1.032591509,0.830625344,0.81506252,0.967873908,0.795333545,0.896278843,0.821409206,0.740961942,0.943532054,0.801984409,0.730644019,0.629998424,0.779026277,0.728580176,0.672419678,0.469814938,0.729292603,1.130795748,1.289107814,1.158087753,0.941281867,0.856600981,1.342838699,1.06,1.008468409,0.96679267,0.955653487,0.956438068,0.968133368,0.976784013,1.032591509,0.830625344,0.81506252,0.967873908,0.795333545,0.896278843,0.821409206,0.740961942,0.943532054,0.801984409,0.730644019,0.629998424,0.779026277,0.728580176,0.672419678,0.469814938,0.729292603,1.130795748,1.289107814,1.158087753,0.941281867,0.856600981,1.342838699,1.06,1.008468409,0.96679267,0.955653487,0.956438068,0.968133368,0.976784013,1.032591509,0.830625344,0.81506252,0.967873908,0.795333545,0.896278843,0.821409206,0.740961942,0.943532054,0.801984409,0.730644019,0.629998424,0.779026277,0.728580176,0.672419678,0.469814938,0.729292603,1.130795748,1.289107814,1.158087753,0.941281867,0.856600981,1.342838699,FalseInjectionAttack
1.06,1.075975935,1.108117549,1.099322461,1.194665091,1.112716738,1.176691002,1.072415747,1.125526635,1.134809628,1.364815507,1.321263905,1.28572665,1.405571683,1.319322897,1.218489041,1.14475731,0.997500829,1.045136864,1.026488921,1.082726101,1.122332919,1.219452342,1.20511104,1.441815761,1.575618584,1.152012643,1.058872905,1.42401849,1.540519952,1.06,1.075975935,1.108117549,1.099322461,1.194665091,1.112716738,1.176691002,1.072415747,1.125526635,1.134809628,1.364815507,1.321263905,1.28572665,1.405571683,1.319322897,1.218489041,1.14475731,0.997500829,1.045136864,1.026488921,1.082726101,1.122332919,1.219452342,1.20511104,1.441815761,1.575618584,1.152012643,1.058872905,1.42401849,1.540519952,1.06,1.075975935,1.108117549,1.099322461,1.194665091,1.112716738,1.176691002,1.072415747,1.125526635,1.134809628,1.364815507,1.321263905,1.28572665,1.405571683,1.319322897,1.218489041,1.14475731,0.997500829,1.045136864,1.026488921,1.082726101,1.122332919,1.219452342,1.20511104,1.441815761,1.575618584,1.152012643,1.058872905,1.42401849,1.540519952,FalseInjectionAttack
1.06,1.019999246,1.034600871,0.984544425,1.043360249,0.973476688,0.998779039,0.964120602,1.038224845,1.162209833,1.044764484,1.044381802,1.138099538,0.958237646,0.995303232,0.888985256,1.200263194,0.826263244,0.924823359,0.973388627,1.12784249,1.133108387,1.073373663,1.021531709,1.049733282,0.812542174,0.909725931,0.992620045,0.902736645,1.153035714,1.06,1.019999246,1.034600871,0.984544425,1.043360249,0.973476688,0.998779039,0.964120602,1.038224845,1.162209833,1.044764484,1.044381802,1.138099538,0.958237646,0.995303232,0.888985256,1.200263194,0.826263244,0.924823359,0.973388627,1.12784249,1.133108387,1.073373663,1.021531709,1.049733282,0.812542174,0.909725931,0.992620045,0.902736645,1.153035714,1.06,1.019999246,1.034600871,0.984544425,1.043360249,0.973476688,0.998779039,0.964120602,1.038224845,1.162209833,1.044764484,1.044381802,1.138099538,0.958237646,0.995303232,0.888985256,1.200263194,0.826263244,0.924823359,0.973388627,1.12784249,1.133108387,1.073373663,1.021531709,1.049733282,0.812542174,0.909725931,0.992620045,0.902736645,1.153035714,FalseInjectionAttack
1.06,1.016389463,1.033413695,1.043996018,1.119359993,1.038744815,1.026869399,1.00605176,1.17620988,1.198444459,1.080811379,1.243672544,1.260621529,1.257968493,1.281725896,1.219166308,1.121176919,1.268728963,1.263660558,1.263513623,1.160181257,1.161100898,1.021233458,1.093054052,1.098852987,1.019337245,1.240899157,1.052036389,1.359923308,1.216628463,1.06,1.016389463,1.033413695,1.043996018,1.119359993,1.038744815,1.026869399,1.00605176,1.17620988,1.198444459,1.080811379,1.243672544,1.260621529,1.257968493,1.281725896,1.219166308,1.121176919,1.268728963,1.263660558,1.263513623,1.160181257,1.161100898,1.021233458,1.093054052,1.098852987,1.019337245,1.240899157,1.052036389,1.359923308,1.216628463,1.06,1.016389463,1.033413695,1.043996018,1.119359993,1.038744815,1.026869399,1.00605176,1.17620988,1.198444459,1.080811379,1.243672544,1.260621529,1.257968493,1.281725896,1.219166308,1.121176919,1.268728963,1.263660558,1.263513623,1.160181257,1.161100898,1.021233458,1.093054052,1.098852987,1.019337245,1.240899157,1.052036389,1.359923308,1.216628463,FalseInjectionAttack
1.06,1.030688677,1.032434348,1.055488789,0.769106734,1.059332896,0.951823025,1.06089051,0.968511714,0.922367657,0.693965496,0.955049995,0.994632944,0.71507985,0.964621193,0.991060337,0.955686391,1.054056438,1.076059392,1.076193299,0.804873187,0.787111429,0.968604257,0.858445568,0.921355028,1.18594671,0.94496543,1.063971977,1.197927534,0.663632812,1.06,1.030688677,1.032434348,1.055488789,0.769106734,1.059332896,0.951823025,1.06089051,0.968511714,0.922367657,0.693965496,0.955049995,0.994632944,0.71507985,0.964621193,0.991060337,0.955686391,1.054056438,1.076059392,1.076193299,0.804873187,0.787111429,0.968604257,0.858445568,0.921355028,1.18594671,0.94496543,1.063971977,1.197927534,0.663632812,1.06,1.030688677,1.032434348,1.055488789,0.769106734,1.059332896,0.951823025,1.06089051,0.968511714,0.922367657,0.693965496,0.955049995,0.994632944,0.71507985,0.964621193,0.991060337,0.955686391,1.054056438,1.076059392,1.076193299,0.804873187,0.787111429,0.968604257,0.858445568,0.921355028,1.18594671,0.94496543,1.063971977,1.197927534,0.663632812,FalseInjectionAttack
1.06,0.959719957,0.982513579,0.964285365,0.882180467,0.931864271,0.920899175,0.947883225,1.02185322,0.988584615,1.079584871,0.92354586,0.969357152,1.000778559,0.837239391,1.075538902,0.995415432,0.744180875,0.569137918,0.647290031,0.995072261,0.967645905,0.724749755,0.83660932,1.113131381,0.854098989,1.166778422,0.928978905,1.145769591,0.734467545,1.06,0.959719957,0.982513579,0.964285365,0.882180467,0.931864271,0.920899175,0.947883225,1.02185322,0.988584615,1.079584871,0.92354586,0.969357152,1.000778559,0.837239391,1.075538902,0.995415432,0.744180875,0.569137918,0.647290031,0.995072261,0.967645905,0.724749755,0.83660932,1.113131381,0.854098989,1.166778422,0.928978905,1.145769591,0.734467545,1.06,0.959719957,0.982513579,0.964285365,0.882180467,0.931864271,0.920899175,0.947883225,1.02185322,0.988584615,1.079584871,0.92354586,0.969357152,1.000778559,0.837239391,1.075538902,0.995415432,0.744180875,0.569137918,0.647290031,0.995072261,0.967645905,0.724749755,0.83660932,1.113131381,0.854098989,1.166778422,0.928978905,1.145769591,0.734467545,FalseInjectionAttack
1.06,1.025779516,1.012076634,1.037906271,1.079436086,1.047154362,1.104200517,1.050439155,0.982730366,0.95679604,1.064138151,1.198361604,1.139894274,1.227076598,1.124512917,1.04370401,0.883207963,0.968396998,0.914392889,0.962466631,0.941831079,1.001093099,1.059970709,1.028749061,0.979325932,1.065409431,1.076350103,1.07764482,0.644928967,0.587931633,1.06,1.025779516,1.012076634,1.037906271,1.079436086,1.047154362,1.104200517,1.050439155,0.982730366,0.95679604,1.064138151,1.198361604,1.139894274,1.227076598,1.124512917,1.04370401,0.883207963,0.968396998,0.914392889,0.962466631,0.941831079,1.001093099,1.059970709,1.028749061,0.979325932,1.065409431,1.076350103,1.07764482,0.644928967,0.587931633,1.06,1.025779516,1.012076634,1.037906271,1.079436086,1.047154362,1.104200517,1.050439155,0.982730366,0.95679604,1.064138151,1.198361604,1.139894274,1.227076598,1.124512917,1.04370401,0.883207963,0.968396998,0.914392889,0.962466631,0.941831079,1.001093099,1.059970709,1.028749061,0.979325932,1.065409431,1.076350103,1.07764482,0.644928967,0.587931633,FalseInjectionAttack
